cidade,ano,mes,dia,data,volume,data_importacao
Goiânia,2024,8,21,2024-08-21,0.0,2024/11/29
Goiânia,2024,8,22,2024-08-22,0.0,2024/11/29
Goiânia,2024,8,23,2024-08-23,0.0,2024/11/29
Goiânia,2024,8,24,2024-08-24,0.0,2024/11/29
Goiânia,2024,8,25,2024-08-25,0.0,2024/11/29
Goiânia,2024,8,26,2024-08-26,0.0,2024/11/29
Goiânia,2024,8,27,2024-08-27,0.0,2024/11/29
Goiânia,2024,8,28,2024-08-28,0.0,2024/11/29
Goiânia,2024,8,29,2024-08-29,0.0,2024/11/29
Goiânia,2024,8,30,2024-08-30,0.0,2024/11/29
Goiânia,2024,8,31,2024-08-31,0.0,2024/11/29
Goiânia,2024,9,1,2024-09-01,0.0,2024/11/29
Goiânia,2024,9,2,2024-09-02,0.0,2024/11/29
Goiânia,2024,9,3,2024-09-03,0.0,2024/11/29
Goiânia,2024,9,4,2024-09-04,0.0,2024/11/29
Goiânia,2024,9,5,2024-09-05,0.0,2024/11/29
Goiânia,2024,9,6,2024-09-06,0.0,2024/11/29
Goiânia,2024,9,7,2024-09-07,0.0,2024/11/29
Goiânia,2024,9,8,2024-09-08,0.0,2024/11/29
Goiânia,2024,9,9,2024-09-09,0.0,2024/11/29
Goiânia,2024,9,10,2024-09-10,0.0,2024/11/29
Goiânia,2024,9,11,2024-09-11,0.0,2024/11/29
Goiânia,2024,9,12,2024-09-12,0.0,2024/11/29
Goiânia,2024,9,13,2024-09-13,0.0,2024/11/29
Goiânia,2024,9,14,2024-09-14,0.0,2024/11/29
Goiânia,2024,9,15,2024-09-15,0.0,2024/11/29
Goiânia,2024,9,16,2024-09-16,0.0,2024/11/29
Goiânia,2024,9,17,2024-09-17,0.0,2024/11/29
Goiânia,2024,9,18,2024-09-18,0.0,2024/11/29
Goiânia,2024,9,19,2024-09-19,0.0,2024/11/29
Goiânia,2024,9,20,2024-09-20,0.0,2024/11/29
Goiânia,2024,9,21,2024-09-21,0.0,2024/11/29
Goiânia,2024,9,22,2024-09-22,0.0,2024/11/29
Goiânia,2024,9,23,2024-09-23,0.0,2024/11/29
Goiânia,2024,9,24,2024-09-24,0.0,2024/11/29
Goiânia,2024,9,25,2024-09-25,0.0,2024/11/29
Goiânia,2024,9,26,2024-09-26,0.0,2024/11/29
Goiânia,2024,9,27,2024-09-27,0.0,2024/11/29
Goiânia,2024,9,28,2024-09-28,0.4,2024/11/29
Goiânia,2024,9,29,2024-09-29,0.0,2024/11/29
Goiânia,2024,9,30,2024-09-30,0.0,2024/11/29
Goiânia,2024,10,1,2024-10-01,0.0,2024/11/29
Goiânia,2024,10,2,2024-10-02,0.0,2024/11/29
Goiânia,2024,10,3,2024-10-03,0.0,2024/11/29
Goiânia,2024,10,4,2024-10-04,0.0,2024/11/29
Goiânia,2024,10,5,2024-10-05,0.0,2024/11/29
Goiânia,2024,10,6,2024-10-06,0.0,2024/11/29
Goiânia,2024,10,7,2024-10-07,0.0,2024/11/29
Goiânia,2024,10,8,2024-10-08,0.0,2024/11/29
Goiânia,2024,10,9,2024-10-09,0.4,2024/11/29
Goiânia,2024,10,10,2024-10-10,5.0,2024/11/29
Goiânia,2024,10,11,2024-10-11,3.6,2024/11/29
Goiânia,2024,10,12,2024-10-12,0.8,2024/11/29
Goiânia,2024,10,13,2024-10-13,0.8,2024/11/29
Goiânia,2024,10,14,2024-10-14,0.8,2024/11/29
Goiânia,2024,10,15,2024-10-15,9.2,2024/11/29
Goiânia,2024,10,16,2024-10-16,0.6000000000000001,2024/11/29
Goiânia,2024,10,17,2024-10-17,15.2,2024/11/29
Goiânia,2024,10,18,2024-10-18,0.2,2024/11/29
Goiânia,2024,10,19,2024-10-19,51.6,2024/11/29
Goiânia,2024,10,20,2024-10-20,14.6,2024/11/29
Goiânia,2024,10,21,2024-10-21,52.4,2024/11/29
Goiânia,2024,10,22,2024-10-22,0.4,2024/11/29
Goiânia,2024,10,23,2024-10-23,1.6,2024/11/29
Goiânia,2024,10,24,2024-10-24,0.0,2024/11/29
Goiânia,2024,10,25,2024-10-25,13.2,2024/11/29
Goiânia,2024,10,26,2024-10-26,7.6,2024/11/29
Goiânia,2024,10,27,2024-10-27,31.200000000000003,2024/11/29
Goiânia,2024,10,28,2024-10-28,25.6,2024/11/29
Goiânia,2024,10,29,2024-10-29,7.0,2024/11/29
